,id_iklan,status_iklan,created_at,user_id,title,description,price,prov,kota,lat,lon
24,771828374,active,2020-02-11T17:26:44+07:00,104665888,Vixion mulus siap gass,"Harga OTR : 16.5jt

35x746
29x865
23x1009
17x1288
11x1760


√ Jual Beli Motor Bekas Rasa Baru Bergaransi
√ Ready Motor Sport, Bebek dan Matic Terbaik Di Kelasnya
√ Bergaransi Mesin 3 bulan
√ Service 6 x di Bengkel Kami
√ Bisa Tukar Tambah
√ Bonus Helm SNI 
√ Free Ongkir (S&K Berlaku)
√ Promo Khusus Kredit (S&K Berlaku)
√ Pengajuan Kredit Cukup Via WA / SMS Ke Nomor Marketing Kami

ALAMAT
Perum Ciluar permai blok f4 no 1 Cijujung Sukaraja

Terimakasih atas kunjungan Anda
BIMA MOTOR PUSATNYA NGEDEAL TERBAIKMU",16500000.0,Jawa Barat,Bogor Kab.,-6.43,106.717
25,771836114,active,2020-02-11T17:26:17+07:00,64595502,Yamaha vixion 2010 / 5,"Yamaha vixion TH 2010/5
ss lengkap tangan pertama, pajak hidup, plat tangerang kota body cuuting sitcker. masih orsinil No kendala.. tinggal tancap gas..",8700000.0,Banten,Tangerang Kota,-6.147,106.623
26,771836065,active,2020-02-11T17:25:48+07:00,104665888,Vixion mulus siap pakai,Siap  pakai kartu kmana,16500000.0,Jawa Barat,Bogor Kab.,-6.408,106.961
27,771836050,active,2020-02-11T17:25:39+07:00,93481523,Dijual motor vixion,Dijual vixion 2017 surat lengkap pajak hidup kondisi masih bagus,14000000.0,Sumatra Selatan,Palembang Kota,-2.932,104.724
28,771835585,active,2020-02-11T17:22:20+07:00,16606407,Vixion New Advance Pmk 2016 SIAP PAKAI PJK GRES 03-2021 LENGKAP TGN1,"HARGANYA PANTAS DENGAN KUALITAS MUTU MOTORNYA.
PAJAK BARU GRES sd 03-2021.
PLAT STNK sd 03-2021.
BPKB dan FAKTUR, NIK dan STNK LENGKAP.
MASIH TANGAN PERTAMA.
FOTOKOPI KTP ADA.
PLAT L SURABAYA TIMUR. SAMSAT MANYAR.
CEK MOTORNYA DI MULYOSARI DAERAH KENJERAN SURABAYA.
MESIN SUPER HALUS. 
BODI SUPER MULUS. 
DOUBLE STARTER OK NORMAL. INDIKATOR BBM OK NORMAL.
BAN LUAR DEPAN dan BELAKANG MASIH TEBAL.
KUNCI KONTAK ADA 2 LENGKAP SEGEL.
SIAP PAKAI.
SIAP DIBANDINGKAN.
SIAP DIBUKTIKAN. 
BUKAN SEKEDAR IKLAN. Ssr.
Selama iklannya tetap tayang motornya masih bisa dipantau. Harga nego.",14500000.0,Jawa Timur,Surabaya Kota,-7.272,112.783
29,771835491,active,2020-02-11T17:21:10+07:00,105586284,Vixion new 2013,"Bissmillah, di jual vixion new 2013 lengkap mati pajak plat B, mesin ga ada kendala lampu lampu semua idup, body mulus, harga nego sampe jadi di jual karena bu. Lokasi rajabasa",11000000.0,Lampung,Bandar Lampung Kota,-5.372,105.237
30,771835442,active,2020-02-11T17:20:58+07:00,57921376,VIXION OLD 2011,"Vixion 2011, lengkap, pajak on bulan ini, plat panjang. 10.5 nego alus. Cod dirumah",10500000.0,Lampung,Lampung Selatan Kab.,-5.693,105.582
31,771835258,active,2020-02-11T17:19:21+07:00,16606407,Vixion New 2014 SIAP PAKAI PJK HIDUP SRT LENGKAP,"PAJAK  03-2020
PLAT/STNK 03-2021.
BPKB dan STNK LENGKAP.
PLAT L SURABAYA SELATAN. SAMSAT KETINTANG.
CEK MOTORNYA DI MULYOSARI DAERAH KENJERAN.
MESIN HALUS. 
BODI MULUS. 
DOUBLE STARTER OK NORMAL.
SPEDOMETER DIGITAL dan INDIKATOR BBM OK NORMAL.
KM ODO RENDAH 35.000.
BAN LUAR MASIH BARU.
SIAP PAKAI.
SIAP DIBANDINGKAN.
SIAP DIBUKTIKAN. Sdsa.
Selama iklannya tetap tayang motornya masih bisa dipantau. Harga nego.",11500000.0,Jawa Timur,Surabaya Kota,-7.272,112.783
32,771835138,active,2020-02-11T17:18:22+07:00,102163987,All new vixion 2017 bekas    odo(20360km),"Jual vixion bekas, lecet bagian shock depan, body kegores, dan pelindung knalpot lecet,  kondisi 80% mulus,  pernah jatuh dan sudah diperbaiki kerusakkannya, monggo silahkan mampir kerumah dan cek sendiri  surat2 komplit, pajak masih jalan",20000000.0,Jawa Tengah,Temanggung Kab.,-7.316,110.175
33,771834861,active,2020-02-11T17:16:01+07:00,89652898,Jual motor vixion thn 2008,"Yamaha vixion thn 2008, pajak desember 2020 , mesin masih gress pisan. Bisa di liat kawan",6500000.0,Jawa Barat,Depok Kota,-6.427,106.8
34,771663062,active,2020-02-11T17:13:41+07:00,105532776,Vixion lighting 2015,"Permisi gan, dijual cepat
Vixion lightning 2015 lengkap plat A mulus nokendala siap jln jauh, km rendah 25.000, pakean bpk² motor cuma dipakai buat anter ank ke skolah.selebihnya cek lngsng di tkp.
Harga 10,5 jt nego
Minat langsung tlpn/wa terimakasih.",10500000.0,Lampung,Lampung Selatan Kab.,-5.832,105.699
35,771834268,active,2020-02-11T17:10:58+07:00,104840623,Putra tunggal motor new vixion,"Asalamu alaikum wr wb bismillahirohmanirrohim

Putra tungal motor pusat motor bekas termurah&terlengkap

-motor minim pemakaian
-kondisi motor 90% original
-kelistrikan normal
-km rendah
-proses kredit cukup ktp&kk
-garansi mesin 1 th
-free service
-free helmSNI/jacket
-free asuransi jiwa

Pengajuan kredit bisa via watsap

Untuk tanya2 mengenai dp dan cicilan bisa wa kami

Haturnuhun.",16700000.0,Jawa Barat,Bogor Kota,-6.611,106.823
36,771832875,active,2020-02-11T17:09:52+07:00,67153493,Yamaha Vixion tahun 2014 (bisa nego),"plat tasik kota
pajak taat
mesin mantaapp
minat chat",15000000.0,Jawa Barat,Tasikmalaya Kota,-7.313,108.222
