title,user_name,rating,review_date,review_text,reply_text
Bukalapak-JualBeliOnline,Abdul,Rated 1 stars out of five stars,"March 6, 2019",pencairan saldo sangat sulit. malah harus daftar app lain kita dipaksa pakai app dana uang saya ga bisa di cairkan karena proses yg sangat sulit,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
Bukalapak-JualBeliOnline,Gede Astawan,Rated 5 stars out of five stars,"March 6, 2019",i like it. so easy. mudah banget karena no rek buka lapak real account di bank bank ternama. jadi gak perlu virtual account. mantap,
Bukalapak-JualBeliOnline,Abyantama El Anwary,Rated 2 stars out of five stars,"March 6, 2019",lambat,
Bukalapak-JualBeliOnline,Santo Arifianto,Rated 5 stars out of five stars,"March 6, 2019",so far so good..,
Bukalapak-JualBeliOnline,iyan99babeh,Rated 5 stars out of five stars,"March 6, 2019",good,
Bukalapak-JualBeliOnline,Franky Soit,Rated 5 stars out of five stars,"March 6, 2019",cukup lengkap lapak jualannya,
Bukalapak-JualBeliOnline,Taufik Hidayat,Rated 5 stars out of five stars,"March 6, 2019",good,
Bukalapak-JualBeliOnline,Tri Setiawan,Rated 5 stars out of five stars,"March 6, 2019",Good,
Bukalapak-JualBeliOnline,Moh Dody Setiawan,Rated 2 stars out of five stars,"March 6, 2019",makin lambat/berat aja loading awal nya..,
Bukalapak-JualBeliOnline,Ahmad Rizqi,Rated 5 stars out of five stars,"March 6, 2019",Karya Anak Bangsa 👍,
Bukalapak-JualBeliOnline,Deni Rizki S,Rated 1 stars out of five stars,"March 6, 2019","History pengiriman tidak lengkap & tidak menampilkan seluruh detail proses pengiriman dari mulai barang dikirim hingga barang diterima oleh pembeli, tidak seperti history pengiriman versi terdahulu. Tolong diperbaiki atau kembalikan seperti versi sebelumnya. Terimakasih.","PT Bukalapak.comMarch 6, 2019Hai, terimakasih atas saran dan masukan yang diberikan ya. Kami akan berusaha menyampaikan hal tersebut ke tim terkait kami yang menangani hal tersebut."
Bukalapak-JualBeliOnline,Muhammad Ector Prasetyo,Rated 5 stars out of five stars,"March 6, 2019",Best OL shop ever tries,
Bukalapak-JualBeliOnline,maspriyo ono,Rated 5 stars out of five stars,"March 6, 2019",mudah dan menyenangkan,
Bukalapak-JualBeliOnline,Luqman HGS,Rated 4 stars out of five stars,"March 6, 2019",UI bagus dan mudah,
Bukalapak-JualBeliOnline,Fauzan,Rated 1 stars out of five stars,"March 6, 2019",Saldo hasil jualan dan Saldo Mitra gabung jadi satu? Mohon dipisahkan. Dan gak aman banget! Tanpa PIN! Gimana dong ketika akun dibajak? Raib dong saldonya,"PT Bukalapak.comMarch 6, 2019Hai, mohon maaf atas ketidaknyamanannya Kak, kami terima kritik dan saran yang kamu berikan demi kenyamanan dan pengalaman yang menyenangkan bertransaksi di Bukalapak, yuk infokan detail kendala kamu melalui form berikut: https://bukl.pk/appreview agar kami cek lebih lanjut"
Bukalapak-JualBeliOnline,Abdillah Traveler,Rated 1 stars out of five stars,"March 6, 2019",pengiriman JNT gak sesuai dengan biaya di PENGIRIMAN payah....,"PT Bukalapak.comMarch 6, 2019Mohon maaf atas kendalanya kakak. Mohon infokan detail kendala kakak melalui form berikut : https://bukl.pk/appreview agar kami cek lebih lanjut. Semoga kendalanya cepat selesai, ya. Selamat beraktivitas :)"
